step,0,1,2,3,4,5,6,7
100,10,5.49136,4.50864,5.49134,4.50864,2.25712e-05,5.49134,4.50866
101,10,5.48948,4.51052,5.48946,4.51052,2.24732e-05,5.48946,4.51054
102,10,5.48764,4.51236,5.48762,4.51236,2.23758e-05,5.48762,4.51238
103,10,5.48583,4.51417,5.48581,4.51417,2.22789e-05,5.48581,4.51419
104,10,5.48407,4.51593,5.48405,4.51593,2.21826e-05,5.48405,4.51595
105,10,5.48234,4.51766,5.48232,4.51766,2.20869e-05,5.48232,4.51768
106,10,5.48065,4.51935,5.48063,4.51935,2.19917e-05,5.48063,4.51937
107,10,5.47899,4.52101,5.47897,4.52101,2.18971e-05,5.47897,4.52103
108,10,5.47737,4.52263,5.47734,4.52263,2.1803e-05,5.47734,4.52266
109,10,5.47578,4.52422,5.47576,4.52422,2.17095e-05,5.47576,4.52424
110,10,5.47422,4.52578,5.4742,4.52578,2.16165e-05,5.4742,4.5258
111,10,5.4727,4.5273,5.47268,4.5273,2.1524e-05,5.47268,4.52732
112,10,5.47121,4.52879,5.47118,4.52879,2.1432e-05,5.47118,4.52882
113,10,5.46974,4.53026,5.46972,4.53026,2.13406e-05,5.46972,4.53028
114,10,5.46831,4.53169,5.46829,4.53169,2.12496e-05,5.46829,4.53171
115,10,5.46691,4.53309,5.46689,4.53309,2.11592e-05,5.46689,4.53311
116,10,5.46554,4.53446,5.46552,4.53446,2.10693e-05,5.46552,4.53448
117,10,5.4642,4.5358,5.46418,4.5358,2.09798e-05,5.46418,4.53582
118,10,5.46288,4.53712,5.46286,4.53712,2.08908e-05,5.46286,4.53714
119,10,5.46159,4.53841,5.46157,4.53841,2.08023e-05,5.46157,4.53843
120,10,5.46033,4.53967,5.46031,4.53967,2.07143e-05,5.46031,4.53969
121,10,5.4591,4.5409,5.45908,4.5409,2.06268e-05,5.45908,4.54092
122,10,5.45789,4.54211,5.45787,4.54211,2.05397e-05,5.45787,4.54213
123,10,5.4567,4.5433,5.45668,4.5433,2.04531e-05,5.45668,4.54332
124,10,5.45554,4.54446,5.45552,4.54446,2.03669e-05,5.45552,4.54448
125,10,5.45441,4.54559,5.45439,4.54559,2.02812e-05,5.45439,4.54561
126,10,5.45329,4.54671,5.45327,4.54671,2.0196e-05,5.45327,4.54673
127,10,5.4522,4.5478,5.45218,4.5478,2.01111e-05,5.45218,4.54782
128,10,5.45114,4.54886,5.45112,4.54886,2.00268e-05,5.45112,4.54888
129,10,5.45009,4.54991,5.45007,4.54991,1.99428e-05,5.45007,4.54993
130,10,5.44907,4.55093,5.44905,4.55093,1.98593e-05,5.44905,4.55095
131,10,5.44806,4.55194,5.44804,4.55194,1.97762e-05,5.44804,4.55196
132,10,5.44708,4.55292,5.44706,4.55292,1.96935e-05,5.44706,4.55294
133,10,5.44612,4.55388,5.4461,4.55388,1.96113e-05,5.4461,4.5539
134,10,5.44518,4.55482,5.44516,4.55482,1.95294e-05,5.44516,4.55484
135,10,5.44426,4.55574,5.44424,4.55574,1.9448e-05,5.44424,4.55576
136,10,5.44335,4.55665,5.44333,4.55665,1.9367e-05,5.44333,4.55667
137,10,5.44247,4.55753,5.44245,4.55753,1.92864e-05,5.44245,4.55755
138,10,5.4416,4.5584,5.44158,4.5584,1.92062e-05,5.44158,4.55842
139,10,5.44075,4.55925,5.44073,4.55925,1.91263e-05,5.44073,4.55927
140,10,5.43992,4.56008,5.4399,4.56008,1.90469e-05,5.4399,4.5601
141,10,5.43911,4.56089,5.43909,4.56089,1.89679e-05,5.43909,4.56091
142,10,5.43831,4.56169,5.43829,4.56169,1.88892e-05,5.43829,4.56171
143,10,5.43753,4.56247,5.43751,4.56247,1.88109e-05,5.43751,4.56249
144,10,5.43676,4.56324,5.43674,4.56324,1.87331e-05,5.43674,4.56326
145,10,5.43601,4.56399,5.43599,4.56399,1.86555e-05,5.43599,4.56401
146,10,5.43528,4.56472,5.43526,4.56472,1.85784e-05,5.43526,4.56474
147,10,5.43456,4.56544,5.43454,4.56544,1.85016e-05,5.43454,4.56546
148,10,5.43385,4.56615,5.43384,4.56615,1.84252e-05,5.43384,4.56616
149,10,5.43316,4.56684,5.43315,4.56684,1.83492e-05,5.43315,4.56685
150,10,5.43249,4.56751,5.43247,4.56751,1.82735e-05,5.43247,4.56753
151,10,5.43183,4.56817,5.43181,4.56817,1.81982e-05,5.43181,4.56819
152,10,5.43118,4.56882,5.43116,4.56882,1.81232e-05,5.43116,4.56884
153,10,5.43054,4.56946,5.43053,4.56946,1.80486e-05,5.43053,4.56947
154,10,5.42992,4.57008,5.4299,4.57008,1.79743e-05,5.4299,4.5701
155,10,5.42931,4.57069,5.42929,4.57069,1.79004e-05,5.42929,4.57071
156,10,5.42872,4.57128,5.4287,4.57128,1.78269e-05,5.4287,4.5713
157,10,5.42813,4.57187,5.42811,4.57187,1.77536e-05,5.42811,4.57189
158,10,5.42756,4.57244,5.42754,4.57244,1.76807e-05,5.42754,4.57246
159,10,5.427,4.573,5.42698,4.573,1.76082e-05,5.42698,4.57302
160,10,5.42645,4.57355,5.42643,4.57355,1.7536e-05,5.42643,4.57357
161,10,5.42591,4.57409,5.42589,4.57409,1.74641e-05,5.42589,4.57411
