step,0,1,2,3
359,2.32224,-2.5,5.82224,2.64448
360,2.32225,-2.5,5.82225,2.6445
361,2.32225,-2.5,5.82225,2.64451
362,2.32226,-2.5,5.82226,2.64452
363,2.32226,-2.5,5.82226,2.64453
364,2.32227,-2.5,5.82227,2.64453
365,2.32227,-2.5,5.82227,2.64454
366,2.32228,-2.5,5.82228,2.64455
367,2.32228,-2.5,5.82228,2.64456
368,2.32229,-2.5,5.82229,2.64457
369,2.32229,-2.5,5.82229,2.64458
370,2.32229,-2.5,5.82229,2.64459
371,2.3223,-2.5,5.8223,2.6446
372,2.3223,-2.5,5.8223,2.64461
373,2.32231,-2.5,5.82231,2.64461
374,2.32231,-2.5,5.82231,2.64462
375,2.32231,-2.5,5.82231,2.64463
376,2.32232,-2.5,5.82232,2.64464
377,2.32232,-2.5,5.82232,2.64464
378,2.32233,-2.5,5.82233,2.64465
379,2.32233,-2.5,5.82233,2.64466
380,2.32233,-2.5,5.82233,2.64467
381,2.32234,-2.5,5.82234,2.64467
382,2.32234,-2.5,5.82234,2.64468
383,2.32234,-2.5,5.82234,2.64469
384,2.32235,-2.5,5.82235,2.64469
385,2.32235,-2.5,5.82235,2.6447
386,2.32235,-2.5,5.82235,2.6447
387,2.32235,-2.5,5.82235,2.64471
388,2.32236,-2.5,5.82236,2.64472
389,2.32236,-2.5,5.82236,2.64472
390,2.32236,-2.5,5.82236,2.64473
391,2.32237,-2.5,5.82237,2.64473
392,2.32237,-2.5,5.82237,2.64474
393,2.32237,-2.5,5.82237,2.64474
394,2.32237,-2.5,5.82237,2.64475
395,2.32238,-2.5,5.82238,2.64475
396,2.32238,-2.5,5.82238,2.64476
397,2.32238,-2.5,5.82238,2.64476
398,2.32238,-2.5,5.82238,2.64477
399,2.32239,-2.5,5.82239,2.64477
400,2.32239,-2.5,5.82239,2.64478
401,2.32239,-2.5,5.82239,2.64478
402,2.32239,-2.5,5.82239,2.64479
403,2.3224,-2.5,5.8224,2.64479
404,2.3224,-2.5,5.8224,2.6448
405,2.3224,-2.5,5.8224,2.6448
406,2.3224,-2.5,5.8224,2.6448
407,2.3224,-2.5,5.8224,2.64481
408,2.32241,-2.5,5.82241,2.64481
409,2.32241,-2.5,5.82241,2.64482
410,2.32241,-2.5,5.82241,2.64482
411,2.32241,-2.5,5.82241,2.64482
412,2.32241,-2.5,5.82241,2.64483
413,2.32241,-2.5,5.82241,2.64483
414,2.32242,-2.5,5.82242,2.64483
415,2.32242,-2.5,5.82242,2.64484
416,2.32242,-2.5,5.82242,2.64484
417,2.32242,-2.5,5.82242,2.64484
418,2.32242,-2.5,5.82242,2.64485
419,2.32242,-2.5,5.82242,2.64485
420,2.32243,-2.5,5.82243,2.64485
421,2.32243,-2.5,5.82243,2.64486
422,2.32243,-2.5,5.82243,2.64486
423,2.32243,-2.5,5.82243,2.64486
424,2.32243,-2.5,5.82243,2.64486
425,2.32243,-2.5,5.82243,2.64487
426,2.32243,-2.5,5.82243,2.64487
427,2.32244,-2.5,5.82244,2.64487
428,2.32244,-2.5,5.82244,2.64487
429,2.32244,-2.5,5.82244,2.64488
430,2.32244,-2.5,5.82244,2.64488
431,2.32244,-2.5,5.82244,2.64488
432,2.32244,-2.5,5.82244,2.64488
433,2.32244,-2.5,5.82244,2.64489
434,2.32244,-2.5,5.82244,2.64489
435,2.32245,-2.5,5.82245,2.64489
436,2.32245,-2.5,5.82245,2.64489
437,2.32245,-2.5,5.82245,2.6449
438,2.32245,-2.5,5.82245,2.6449
439,2.32245,-2.5,5.82245,2.6449
440,2.32245,-2.5,5.82245,2.6449
441,2.32245,-2.5,5.82245,2.6449
442,2.32245,-2.5,5.82245,2.64491
443,2.32245,-2.5,5.82245,2.64491
444,2.32246,-2.5,5.82246,2.64491
445,2.32246,-2.5,5.82246,2.64491
446,2.32246,-2.5,5.82246,2.64491
447,2.32246,-2.5,5.82246,2.64492
448,2.32246,-2.5,5.82246,2.64492
449,2.32246,-2.5,5.82246,2.64492
450,2.32246,-2.5,5.82246,2.64492
451,2.32246,-2.5,5.82246,2.64492
452,2.32246,-2.5,5.82246,2.64492
453,2.32246,-2.5,5.82246,2.64493
454,2.32246,-2.5,5.82246,2.64493
455,2.32246,-2.5,5.82246,2.64493
456,2.32246,-2.5,5.82246,2.64493
457,2.32247,-2.5,5.82247,2.64493
458,2.32247,-2.5,5.82247,2.64493
459,2.32247,-2.5,5.82247,2.64493
460,2.32247,-2.5,5.82247,2.64494
461,2.32247,-2.5,5.82247,2.64494
462,2.32247,-2.5,5.82247,2.64494
463,2.32247,-2.5,5.82247,2.64494
464,2.32247,-2.5,5.82247,2.64494
465,2.32247,-2.5,5.82247,2.64494
466,2.32247,-2.5,5.82247,2.64494
467,2.32247,-2.5,5.82247,2.64494
468,2.32247,-2.5,5.82247,2.64495
469,2.32247,-2.5,5.82247,2.64495
470,2.32247,-2.5,5.82247,2.64495
471,2.32247,-2.5,5.82247,2.64495
472,2.32247,-2.5,5.82247,2.64495
473,2.32248,-2.5,5.82248,2.64495
474,2.32248,-2.5,5.82248,2.64495
475,2.32248,-2.5,5.82248,2.64495
476,2.32248,-2.5,5.82248,2.64495
477,2.32248,-2.5,5.82248,2.64495
478,2.32248,-2.5,5.82248,2.64496
479,2.32248,-2.5,5.82248,2.64496
480,2.32248,-2.5,5.82248,2.64496
481,2.32248,-2.5,5.82248,2.64496
482,2.32248,-2.5,5.82248,2.64496
483,2.32248,-2.5,5.82248,2.64496
484,2.32248,-2.5,5.82248,2.64496
485,2.32248,-2.5,5.82248,2.64496
486,2.32248,-2.5,5.82248,2.64496
487,2.32248,-2.5,5.82248,2.64496
488,2.32248,-2.5,5.82248,2.64496
489,2.32248,-2.5,5.82248,2.64496
490,2.32248,-2.5,5.82248,2.64497
491,2.32248,-2.5,5.82248,2.64497
492,2.32248,-2.5,5.82248,2.64497
493,2.32248,-2.5,5.82248,2.64497
494,2.32248,-2.5,5.82248,2.64497
495,2.32248,-2.5,5.82248,2.64497
496,2.32248,-2.5,5.82248,2.64497
497,2.32248,-2.5,5.82248,2.64497
498,2.32249,-2.5,5.82249,2.64497
499,2.32249,-2.5,5.82249,2.64497
500,2.32249,-2.5,5.82249,2.64497
501,2.32249,-2.5,5.82249,2.64497
502,2.32249,-2.5,5.82249,2.64497
503,2.32249,-2.5,5.82249,2.64497
504,2.32249,-2.5,5.82249,2.64497
505,2.32249,-2.5,5.82249,2.64497
506,2.32249,-2.5,5.82249,2.64498
507,2.32249,-2.5,5.82249,2.64498
508,2.32249,-2.5,5.82249,2.64498
509,2.32249,-2.5,5.82249,2.64498
510,2.32249,-2.5,5.82249,2.64498
511,2.32249,-2.5,5.82249,2.64498
512,2.32249,-2.5,5.82249,2.64498
513,2.32249,-2.5,5.82249,2.64498
514,2.32249,-2.5,5.82249,2.64498
515,2.32249,-2.5,5.82249,2.64498
516,2.32249,-2.5,5.82249,2.64498
517,2.32249,-2.5,5.82249,2.64498
518,2.32249,-2.5,5.82249,2.64498
519,2.32249,-2.5,5.82249,2.64498
520,2.32249,-2.5,5.82249,2.64498
521,2.32249,-2.5,5.82249,2.64498
522,2.32249,-2.5,5.82249,2.64498
523,2.32249,-2.5,5.82249,2.64498
524,2.32249,-2.5,5.82249,2.64498
525,2.32249,-2.5,5.82249,2.64498
526,2.32249,-2.5,5.82249,2.64498
527,2.32249,-2.5,5.82249,2.64498
528,2.32249,-2.5,5.82249,2.64498
529,2.32249,-2.5,5.82249,2.64498
530,2.32249,-2.5,5.82249,2.64498
531,2.32249,-2.5,5.82249,2.64499
532,2.32249,-2.5,5.82249,2.64499
533,2.32249,-2.5,5.82249,2.64499
534,2.32249,-2.5,5.82249,2.64499
535,2.32249,-2.5,5.82249,2.64499
536,2.32249,-2.5,5.82249,2.64499
537,2.32249,-2.5,5.82249,2.64499
538,2.32249,-2.5,5.82249,2.64499
539,2.32249,-2.5,5.82249,2.64499
540,2.32249,-2.5,5.82249,2.64499
541,2.32249,-2.5,5.82249,2.64499
542,2.32249,-2.5,5.82249,2.64499
543,2.32249,-2.5,5.82249,2.64499
544,2.32249,-2.5,5.82249,2.64499
545,2.32249,-2.5,5.82249,2.64499
546,2.32249,-2.5,5.82249,2.64499
547,2.32249,-2.5,5.82249,2.64499
548,2.32249,-2.5,5.82249,2.64499
549,2.32249,-2.5,5.82249,2.64499
550,2.3225,-2.5,5.8225,2.64499
551,2.3225,-2.5,5.8225,2.64499
552,2.3225,-2.5,5.8225,2.64499
553,2.3225,-2.5,5.8225,2.64499
554,2.3225,-2.5,5.8225,2.64499
555,2.3225,-2.5,5.8225,2.64499
556,2.3225,-2.5,5.8225,2.64499
557,2.3225,-2.5,5.8225,2.64499
558,2.3225,-2.5,5.8225,2.64499
559,2.3225,-2.5,5.8225,2.64499
560,2.3225,-2.5,5.8225,2.64499
561,2.3225,-2.5,5.8225,2.64499
562,2.3225,-2.5,5.8225,2.64499
563,2.3225,-2.5,5.8225,2.64499
564,2.3225,-2.5,5.8225,2.64499
565,2.3225,-2.5,5.8225,2.64499
566,2.3225,-2.5,5.8225,2.64499
567,2.3225,-2.5,5.8225,2.64499
568,2.3225,-2.5,5.8225,2.64499
569,2.3225,-2.5,5.8225,2.64499
570,2.3225,-2.5,5.8225,2.64499
571,2.3225,-2.5,5.8225,2.64499
572,2.3225,-2.5,5.8225,2.64499
573,2.3225,-2.5,5.8225,2.64499
574,2.3225,-2.5,5.8225,2.64499
575,2.3225,-2.5,5.8225,2.64499
576,2.3225,-2.5,5.8225,2.64499
577,2.3225,-2.5,5.8225,2.64499
578,2.3225,-2.5,5.8225,2.64499
579,2.3225,-2.5,5.8225,2.64499
580,2.3225,-2.5,5.8225,2.64499
581,2.3225,-2.5,5.8225,2.64499
582,2.3225,-2.5,5.8225,2.645
583,2.3225,-2.5,5.8225,2.645
584,2.3225,-2.5,5.8225,2.645
585,2.3225,-2.5,5.8225,2.645
586,2.3225,-2.5,5.8225,2.645
587,2.3225,-2.5,5.8225,2.645
588,2.3225,-2.5,5.8225,2.645
589,2.3225,-2.5,5.8225,2.645
590,2.3225,-2.5,5.8225,2.645
591,2.3225,-2.5,5.8225,2.645
592,2.3225,-2.5,5.8225,2.645
593,2.3225,-2.5,5.8225,2.645
594,2.3225,-2.5,5.8225,2.645
595,2.3225,-2.5,5.8225,2.645
596,2.3225,-2.5,5.8225,2.645
597,2.3225,-2.5,5.8225,2.645
598,2.3225,-2.5,5.8225,2.645
599,2.3225,-2.5,5.8225,2.645
600,2.3225,-2.5,5.8225,2.645
601,2.3225,-2.5,5.8225,2.645
602,2.3225,-2.5,5.8225,2.645
603,2.3225,-2.5,5.8225,2.645
604,2.3225,-2.5,5.8225,2.645
605,2.3225,-2.5,5.8225,2.645
606,2.3225,-2.5,5.8225,2.645
607,2.3225,-2.5,5.8225,2.645
608,2.3225,-2.5,5.8225,2.645
609,2.3225,-2.5,5.8225,2.645
610,2.3225,-2.5,5.8225,2.645
611,2.3225,-2.5,5.8225,2.645
612,2.3225,-2.5,5.8225,2.645
613,2.3225,-2.5,5.8225,2.645
614,2.3225,-2.5,5.8225,2.645
615,2.3225,-2.5,5.8225,2.645
616,2.3225,-2.5,5.8225,2.645
617,2.3225,-2.5,5.8225,2.645
618,2.3225,-2.5,5.8225,2.645
619,2.3225,-2.5,5.8225,2.645
620,2.3225,-2.5,5.8225,2.645
621,2.3225,-2.5,5.8225,2.645
622,2.3225,-2.5,5.8225,2.645
623,2.3225,-2.5,5.8225,2.645
624,2.3225,-2.5,5.8225,2.645
625,2.3225,-2.5,5.8225,2.645
626,2.3225,-2.5,5.8225,2.645
627,2.3225,-2.5,5.8225,2.645
628,2.3225,-2.5,5.8225,2.645
629,2.3225,-2.5,5.8225,2.645
630,2.3225,-2.5,5.8225,2.645
631,2.3225,-2.5,5.8225,2.645
632,2.3225,-2.5,5.8225,2.645
633,2.3225,-2.5,5.8225,2.645
634,2.3225,-2.5,5.8225,2.645
635,2.3225,-2.5,5.8225,2.645
636,2.3225,-2.5,5.8225,2.645
637,2.3225,-2.5,5.8225,2.645
