points,value
638,56262.6
639,56262.7
640,56262.7
641,56262.7
642,56262.7
643,56262.7
644,56262.7
645,56262.8
646,56262.8
647,56262.8
648,56262.8
649,56262.8
650,56262.8
651,56262.8
652,56262.9
653,56262.9
654,56262.9
655,56262.9
656,56262.9
657,56262.9
658,56262.9
659,56263
660,56263
661,56263
662,56263
663,56263
664,56263
665,56263.1
666,56263.1
667,56263.1
668,56263.1
669,56263.1
670,56263.1
671,56263.1
672,56263.2
673,56263.2
674,56263.2
675,56263.2
676,56263.2
677,56263.2
678,56263.3
679,56263.3
680,56263.3
681,56263.3
682,56263.3
683,56263.3
684,56263.3
685,56263.4
686,56263.4
687,56263.4
688,56263.4
689,56263.4
690,56263.4
691,56263.5
692,56263.5
693,56263.5
694,56263.5
695,56263.5
696,56263.5
697,56263.5
698,56263.6
699,56263.6
700,56263.6
701,56263.6
702,56263.6
703,56263.6
704,56263.7
705,56263.7
706,56263.7
707,56263.7
708,56263.7
709,56263.7
710,56263.7
711,56263.8
712,56263.8
713,56263.8
714,56263.8
715,56263.8
716,56263.8
717,56263.9
718,56263.9
719,56263.9
720,56263.9
721,56263.9
722,56263.9
723,56263.9
724,56264
725,56264
726,56264
727,56264
728,56264
729,56264
730,56264.1
731,56264.1
732,56264.1
733,56264.1
734,56264.1
735,56264.1
736,56264.1
737,56264.2
738,56264.2
739,56264.2
740,56264.2
741,56264.2
742,56264.2
743,56264.3
744,56264.3
745,56264.3
746,56264.3
747,56264.3
748,56264.3
749,56264.3
750,56264.4
751,56264.4
752,56264.4
753,56264.4
754,56264.4
755,56264.4
756,56264.5
757,56264.5
758,56264.5
759,56264.5
760,56264.5
761,56264.5
762,56264.5
763,56264.6
764,56264.6
765,56264.6
766,56264.6
767,56264.6
768,56264.6
769,56264.7
770,56264.7
771,56264.7
772,56264.7
773,56264.7
774,56264.7
775,56264.7
776,56264.8
777,56264.8
778,56264.8
779,56264.8
780,56264.8
781,56264.8
782,56264.9
783,56264.9
784,56264.9
785,56264.9
786,56264.9
787,56264.9
788,56264.9
789,56265
790,56265
791,56265
792,56265
793,56265
794,56265
795,56265.1
796,56265.1
797,56265.1
798,56265.1
799,56265.1
800,56265.1
801,56265.1
802,56265.2
803,56265.2
804,56265.2
805,56265.2
806,56265.2
807,56265.2
808,56265.3
809,56265.3
810,56265.3
811,56265.3
812,56265.3
813,56265.3
814,56265.3
815,56265.4
816,56265.4
817,56265.4
818,56265.4
819,56265.4
820,56265.4
821,56265.5
822,56265.5
823,56265.5
824,56265.5
825,56265.5
826,56265.5
827,56265.5
828,56265.6
829,56265.6
830,56265.6
831,56265.6
832,56265.6
833,56265.6
834,56265.7
835,56265.7
836,56265.7
837,56265.7
838,56265.7
839,56265.7
840,56265.7
841,56265.8
842,56265.8
843,56265.8
844,56265.8
845,56265.8
846,56265.8
847,56265.9
848,56265.9
849,56265.9
850,56265.9
851,56265.9
852,56265.9
853,56266
854,56266
855,56266
856,56266
857,56266
858,56266
859,56266
860,56266.1
861,56266.1
862,56266.1
863,56266.1
864,56266.1
865,56266.1
866,56266.2
867,56266.2
868,56266.2
869,56266.2
870,56266.2
871,56266.2
872,56266.2
873,56266.3
874,56266.3
875,56266.3
876,56266.3
877,56266.3
878,56266.3
879,56266.4
880,56266.4
881,56266.4
882,56266.4
883,56266.4
884,56266.4
885,56266.4
886,56266.5
887,56266.5
888,56266.5
889,56266.5
890,56266.5
891,56266.5
892,56266.6
893,56266.6
894,56266.6
895,56266.6
896,56266.6
897,56266.6
898,56266.7
899,56266.7
900,56266.7
901,56266.7
902,56266.7
903,56266.7
904,56266.7
905,56266.8
906,56266.8
907,56266.8
908,56266.8
909,56266.8
910,56266.8
911,56266.9
912,56266.9
913,56266.9
914,56266.9
915,56266.9
916,56266.9
917,56266.9
918,56267
919,56267
920,56267
921,56267
922,56267
923,56267
924,56267.1
925,56267.1
926,56267.1
927,56267.1
928,56267.1
929,56267.1
930,56267.2
931,56267.2
932,56267.2
933,56267.2
934,56267.2
935,56267.2
936,56267.2
937,56267.3
938,56267.3
939,56267.3
940,56267.3
941,56267.3
942,56267.3
943,56267.4
944,56267.4
945,56267.4
946,56267.4
947,56267.4
948,56267.4
949,56267.4
950,56267.5
951,56267.5
952,56267.5
953,56267.5
954,56267.5
955,56267.5
956,56267.6
957,56267.6
958,56267.6
959,56267.6
960,56267.6
961,56267.6
962,56267.7
963,56267.7
964,56267.7
965,56267.7
966,56267.7
967,56267.7
968,56267.7
969,56267.8
970,56267.8
971,56267.8
972,56267.8
973,56267.8
974,56267.8
975,56267.9
976,56267.9
977,56267.9
978,56267.9
979,56267.9
980,56267.9
981,56268
982,56268
983,56268
984,56268
985,56268
986,56268
987,56268
988,56268.1
989,56268.1
990,56268.1
991,56268.1
992,56268.1
993,56268.1
994,56268.2
995,56268.2
996,56268.2
997,56268.2
998,56268.2
999,56268.2
1000,56268.3
1001,56268.3
1002,56268.3
1003,56268.3
1004,56268.3
1005,56268.3
1006,56268.3
1007,56268.4
1008,56268.4
1009,56268.4
1010,56268.4
1011,56268.4
1012,56268.4
1013,56268.5
1014,56268.5
1015,56268.5
1016,56268.5
1017,56268.5
1018,56268.5
1019,56268.5
1020,56268.6
1021,56268.6
1022,56268.6
1023,56268.6
1024,56268.6
1025,56268.6
1026,56268.7
1027,56268.7
1028,56268.7
1029,56268.7
1030,56268.7
1031,56268.7
1032,56268.8
1033,56268.8
1034,56268.8
1035,56268.8
1036,56268.8
1037,56268.8
1038,56268.8
1039,56268.9
1040,56268.9
1041,56268.9
1042,56268.9
1043,56268.9
1044,56268.9
1045,56269
1046,56269
1047,56269
1048,56269
1049,56269
1050,56269
1051,56269.1
1052,56269.1
1053,56269.1
1054,56269.1
1055,56269.1
1056,56269.1
1057,56269.2
1058,56269.2
1059,56269.2
1060,56269.2
1061,56269.2
1062,56269.2
1063,56269.2
1064,56269.3
1065,56269.3
1066,56269.3
1067,56269.3
1068,56269.3
1069,56269.3
1070,56269.4
1071,56269.4
1072,56269.4
1073,56269.4
1074,56269.4
1075,56269.4
1076,56269.5
1077,56269.5
1078,56269.5
1079,56269.5
1080,56269.5
1081,56269.5
1082,56269.5
1083,56269.6
1084,56269.6
1085,56269.6
1086,56269.6
1087,56269.6
1088,56269.6
1089,56269.7
1090,56269.7
1091,56269.7
1092,56269.7
1093,56269.7
1094,56269.7
1095,56269.8
1096,56269.8
1097,56269.8
1098,56269.8
1099,56269.8
1100,56269.8
1101,56269.8
1102,56269.9
1103,56269.9
1104,56269.9
1105,56269.9
1106,56269.9
1107,56269.9
1108,56270
1109,56270
1110,56270
1111,56270
1112,56270
1113,56270
1114,56270.1
1115,56270.1
1116,56270.1
1117,56270.1
1118,56270.1
1119,56270.1
1120,56270.2
1121,56270.2
1122,56270.2
1123,56270.2
1124,56270.2
1125,56270.2
1126,56270.2
1127,56270.3
1128,56270.3
1129,56270.3
1130,56270.3
1131,56270.3
1132,56270.3
1133,56270.4
1134,56270.4
1135,56270.4
1136,56270.4
1137,56270.4
1138,56270.4
1139,56270.5
1140,56270.5
1141,56270.5
1142,56270.5
1143,56270.5
1144,56270.5
1145,56270.5
1146,56270.6
1147,56270.6
1148,56270.6
1149,56270.6
1150,56270.6
1151,56270.6
1152,56270.7
1153,56270.7
1154,56270.7
1155,56270.7
1156,56270.7
1157,56270.7
1158,56270.8
1159,56270.8
1160,56270.8
1161,56270.8
1162,56270.8
1163,56270.8
1164,56270.9
1165,56270.9
1166,56270.9
1167,56270.9
1168,56270.9
1169,56270.9
1170,56270.9
1171,56271
1172,56271
1173,56271
