step,0,1,2,3,4,5,6,7
123,10,5.74426,4.25574,5.74426,4.25574,1.84355e-07,5.74426,4.25574
124,10,5.74258,4.25742,5.74258,4.25742,1.83842e-07,5.74258,4.25742
125,10,5.74095,4.25905,5.74095,4.25905,1.83349e-07,5.74095,4.25905
126,10,5.73935,4.26065,5.73935,4.26065,1.8288e-07,5.73935,4.26065
127,10,5.73779,4.26221,5.73779,4.26221,1.82435e-07,5.73779,4.26221
128,10,5.73626,4.26374,5.73626,4.26374,1.82015e-07,5.73626,4.26374
129,10,5.73476,4.26524,5.73476,4.26524,1.8162e-07,5.73476,4.26524
130,10,5.73329,4.26671,5.73329,4.26671,1.8123e-07,5.73329,4.26671
131,10,5.73186,4.26814,5.73186,4.26814,1.80844e-07,5.73186,4.26814
132,10,5.73046,4.26954,5.73046,4.26954,1.80463e-07,5.73046,4.26954
133,10,5.72909,4.27091,5.72909,4.27091,1.80087e-07,5.72909,4.27091
134,10,5.72775,4.27225,5.72775,4.27225,1.79716e-07,5.72775,4.27225
135,10,5.72644,4.27356,5.72644,4.27356,1.79351e-07,5.72644,4.27356
136,10,5.72515,4.27485,5.72515,4.27485,1.78994e-07,5.72515,4.27485
137,10,5.7239,4.2761,5.7239,4.2761,1.78643e-07,5.7239,4.2761
138,10,5.72267,4.27733,5.72267,4.27733,1.78299e-07,5.72267,4.27733
139,10,5.72147,4.27853,5.72147,4.27853,1.77963e-07,5.72147,4.27853
140,10,5.72029,4.27971,5.72029,4.27971,1.77633e-07,5.72029,4.27971
141,10,5.71914,4.28086,5.71914,4.28086,1.77311e-07,5.71914,4.28086
142,10,5.71802,4.28198,5.71802,4.28198,1.76999e-07,5.71802,4.28198
143,10,5.71691,4.28309,5.71691,4.28309,1.76695e-07,5.71691,4.28309
144,10,5.71584,4.28416,5.71584,4.28416,1.76399e-07,5.71584,4.28416
145,10,5.71478,4.28522,5.71478,4.28522,1.76114e-07,5.71478,4.28522
146,10,5.71375,4.28625,5.71375,4.28625,1.75838e-07,5.71375,4.28625
147,10,5.71274,4.28726,5.71274,4.28726,1.75573e-07,5.71274,4.28726
148,10,5.71176,4.28824,5.71176,4.28824,1.75318e-07,5.71176,4.28824
149,10,5.71079,4.28921,5.71079,4.28921,1.75075e-07,5.71079,4.28921
150,10,5.70985,4.29015,5.70985,4.29015,1.74842e-07,5.70985,4.29015
151,10,5.70892,4.29108,5.70892,4.29108,1.74621e-07,5.70892,4.29108
152,10,5.70802,4.29198,5.70802,4.29198,1.74412e-07,5.70802,4.29198
153,10,5.70713,4.29287,5.70713,4.29287,1.74216e-07,5.70713,4.29287
154,10,5.70627,4.29373,5.70627,4.29373,1.74031e-07,5.70627,4.29373
155,10,5.70542,4.29458,5.70542,4.29458,1.73859e-07,5.70542,4.29458
156,10,5.70459,4.29541,5.70459,4.29541,1.737e-07,5.70459,4.29541
157,10,5.70378,4.29622,5.70378,4.29622,1.73553e-07,5.70378,4.29622
158,10,5.70298,4.29702,5.70298,4.29702,1.73418e-07,5.70298,4.29702
159,10,5.70221,4.29779,5.70221,4.29779,1.73296e-07,5.70221,4.29779
160,10,5.70145,4.29855,5.70145,4.29855,1.73186e-07,5.70145,4.29855
161,10,5.7007,4.2993,5.7007,4.2993,1.73089e-07,5.7007,4.2993
162,10,5.69998,4.30002,5.69998,4.30002,1.73003e-07,5.69998,4.30002
163,10,5.69926,4.30074,5.69926,4.30074,1.72929e-07,5.69926,4.30074
164,10,5.69857,4.30143,5.69857,4.30143,1.72868e-07,5.69857,4.30143
165,10,5.69789,4.30211,5.69789,4.30211,1.72817e-07,5.69789,4.30211
166,10,5.69722,4.30278,5.69722,4.30278,1.72777e-07,5.69722,4.30278
167,10,5.69657,4.30343,5.69657,4.30343,1.72749e-07,5.69657,4.30343
168,10,5.69593,4.30407,5.69591,4.30407,1.51142e-05,5.69591,4.30409
169,10,5.6953,4.3047,5.69512,4.3047,0.000183168,5.69512,4.30488
170,10,5.69469,4.30531,5.69419,4.30531,0.000502938,5.69419,4.30581
171,10,5.69409,4.30591,5.69312,4.30591,0.000973066,5.69312,4.30688
172,10,5.69353,4.30647,5.69192,4.30647,0.00160165,5.69192,4.30808
173,10,5.69308,4.30692,5.6906,4.30692,0.00248319,5.6906,4.3094
174,10,5.69276,4.30724,5.68916,4.30724,0.0035924,5.68916,4.31084
175,10,5.69253,4.30747,5.68761,4.30747,0.00492589,5.68761,4.31239
176,10,5.6924,4.3076,5.68595,4.3076,0.00645412,5.68595,4.31405
177,10,5.69236,4.30764,5.68419,4.30764,0.00817439,5.68419,4.31581
178,10,5.6924,4.3076,5.68231,4.3076,0.0100841,5.68231,4.31769
179,10,5.69251,4.30749,5.68036,4.30749,0.0121499,5.68036,4.31964
180,10,5.69267,4.30733,5.6783,4.30733,0.01437,5.6783,4.3217
181,10,5.69291,4.30709,5.67616,4.30709,0.0167424,5.67616,4.32384
182,10,5.69319,4.30681,5.67393,4.30681,0.0192654,5.67393,4.32607
183,10,5.69352,4.30648,5.67162,4.30648,0.0219023,5.67162,4.32838
184,10,5.69389,4.30611,5.66924,4.30611,0.024652,5.66924,4.33076
185,10,5.6943,4.3057,5.66679,4.3057,0.0275133,5.66679,4.33321
186,10,5.69474,4.30526,5.66426,4.30526,0.0304851,5.66426,4.33574
187,10,5.69521,4.30479,5.66167,4.30479,0.0335384,5.66167,4.33833
188,10,5.69569,4.30431,5.65902,4.30431,0.0366726,5.65902,4.34098
189,10,5.6962,4.3038,5.65631,4.3038,0.0398869,5.65631,4.34369
190,10,5.69673,4.30327,5.65354,4.30327,0.0431808,5.65354,4.34646
191,10,5.69727,4.30273,5.65072,4.30273,0.0465536,5.65072,4.34928
192,10,5.69783,4.30217,5.64783,4.30217,0.0500047,5.64783,4.35217
193,10,5.6984,4.3016,5.6449,4.3016,0.0535006,5.6449,4.3551
194,10,5.69897,4.30103,5.64193,4.30103,0.0570412,5.64193,4.35807
195,10,5.69954,4.30046,5.63891,4.30046,0.0606262,5.63891,4.36109
196,10,5.70011,4.29989,5.63586,4.29989,0.0642554,5.63586,4.36414
197,10,5.70069,4.29931,5.63276,4.29931,0.0679288,5.63276,4.36724
198,10,5.70127,4.29873,5.62962,4.29873,0.071646,5.62962,4.37038
199,10,5.70185,4.29815,5.62645,4.29815,0.0754069,5.62645,4.37355
200,10,5.70244,4.29756,5.62322,4.29756,0.0792113,5.62322,4.37678
201,10,5.70302,4.29698,5.61996,4.29698,0.083059,5.61996,4.38004
202,10,5.70361,4.29639,5.61666,4.29639,0.08695,5.61666,4.38334
203,10,5.70418,4.29582,5.61334,4.29582,0.0908466,5.61334,4.38666
204,10,5.70474,4.29526,5.60999,4.29526,0.094749,5.60999,4.39001
205,10,5.70529,4.29471,5.60663,4.29471,0.0986575,5.60663,4.39337
206,10,5.70582,4.29418,5.60325,4.29418,0.102572,5.60325,4.39675
207,10,5.70634,4.29366,5.59985,4.29366,0.106494,5.59985,4.40015
208,10,5.70685,4.29315,5.59643,4.29315,0.110421,5.59643,4.40357
209,10,5.70735,4.29265,5.593,4.29265,0.114356,5.593,4.407
210,10,5.70784,4.29216,5.58954,4.29216,0.118297,5.58954,4.41046
211,10,5.70832,4.29168,5.58607,4.29168,0.122246,5.58607,4.41393
212,10,5.70878,4.29122,5.58258,4.29122,0.126202,5.58258,4.41742
213,10,5.70924,4.29076,5.57908,4.29076,0.130165,5.57908,4.42092
214,10,5.70969,4.29031,5.57555,4.29031,0.134136,5.57555,4.42445
215,10,5.71013,4.28987,5.57202,4.28987,0.138114,5.57202,4.42798
216,10,5.71056,4.28944,5.56846,4.28944,0.1421,5.56846,4.43154
217,10,5.71098,4.28902,5.56489,4.28902,0.146094,5.56489,4.43511
218,10,5.7114,4.2886,5.5613,4.2886,0.150096,5.5613,4.4387
