step,0,1,2,3,4,5,6,7,8,9,10
136,10,4.02388,5.97612,4.02388,3.62103,2.35509,4.02388,3.62103,2.35509,7.64491,2.35509
137,10,4.02351,5.97649,4.02351,3.62048,2.35601,4.02351,3.62048,2.35601,7.64399,2.35601
138,10,4.02316,5.97684,4.02316,3.61994,2.3569,4.02316,3.61994,2.3569,7.6431,2.3569
139,10,4.02283,5.97717,4.02283,3.61942,2.35776,4.02283,3.61942,2.35776,7.64224,2.35776
140,10,4.0225,5.9775,4.0225,3.61891,2.35859,4.0225,3.61891,2.35859,7.64141,2.35859
141,10,4.02218,5.97782,4.02218,3.61842,2.3594,4.02218,3.61842,2.3594,7.6406,2.3594
142,10,4.02188,5.97812,4.02188,3.61794,2.36018,4.02188,3.61794,2.36018,7.63982,2.36018
143,10,4.02158,5.97842,4.02158,3.61748,2.36094,4.02158,3.61748,2.36094,7.63906,2.36094
144,10,4.02129,5.97871,4.02129,3.61703,2.36168,4.02129,3.61703,2.36168,7.63832,2.36168
145,10,4.02102,5.97898,4.02102,3.6166,2.36239,4.02102,3.6166,2.36239,7.63761,2.36239
146,10,4.02075,5.97925,4.02075,3.61617,2.36308,4.02075,3.61617,2.36308,7.63692,2.36308
147,10,4.02049,5.97951,4.02049,3.61576,2.36375,4.02049,3.61576,2.36375,7.63625,2.36375
148,10,4.02024,5.97976,4.02024,3.61536,2.36439,4.02024,3.61536,2.36439,7.63561,2.36439
149,10,4.02,5.98,4.02,3.61498,2.36502,4.02,3.61498,2.36502,7.63498,2.36502
150,10,4.01977,5.98023,4.01977,3.6146,2.36563,4.01977,3.6146,2.36563,7.63437,2.36563
151,10,4.01954,5.98046,4.01954,3.61424,2.36622,4.01954,3.61424,2.36622,7.63378,2.36622
152,10,4.01932,5.98068,4.01932,3.61389,2.36679,4.01932,3.61389,2.36679,7.63321,2.36679
153,10,4.01911,5.98089,4.01911,3.61355,2.36734,4.01911,3.61355,2.36734,7.63266,2.36734
154,10,4.01891,5.98109,4.01891,3.61322,2.36788,4.01891,3.61322,2.36788,7.63212,2.36788
155,10,4.01871,5.98129,4.01871,3.61289,2.3684,4.01871,3.61289,2.3684,7.6316,2.3684
156,10,4.01852,5.98148,4.01852,3.61258,2.3689,4.01852,3.61258,2.3689,7.6311,2.3689
157,10,4.01833,5.98167,4.01833,3.61228,2.36939,4.01833,3.61228,2.36939,7.63061,2.36939
158,10,4.01816,5.98184,4.01816,3.61198,2.36986,4.01816,3.61198,2.36986,7.63014,2.36986
159,10,4.01798,5.98202,4.01798,3.6117,2.37032,4.01798,3.6117,2.37032,7.62968,2.37032
160,10,4.01782,5.98218,4.01782,3.61142,2.37076,4.01782,3.61142,2.37076,7.62924,2.37076
161,10,4.01766,5.98234,4.01766,3.61116,2.37119,4.01766,3.61116,2.37119,7.62881,2.37119
162,10,4.0175,5.9825,4.0175,3.61089,2.37161,4.0175,3.61089,2.37161,7.62839,2.37161
163,10,4.01735,5.98265,4.01735,3.61064,2.37201,4.01735,3.61064,2.37201,7.62799,2.37201
