step,0,1,2,3,4,5,6,7,8,9,10
82,10,3.6189,6.3811,3.6189,3.64124,2.73986,3.6189,3.64124,2.73986,7.26014,2.73986
83,10,3.61275,6.38725,3.61275,3.63818,2.74907,3.61275,3.63818,2.74907,7.25093,2.74907
84,10,3.60673,6.39327,3.60673,3.63521,2.75806,3.60673,3.63521,2.75806,7.24194,2.75806
85,10,3.60082,6.39918,3.60082,3.63233,2.76685,3.60082,3.63233,2.76685,7.23315,2.76685
86,10,3.59488,6.40512,3.59488,3.62953,2.77559,3.59488,3.62953,2.77559,7.22441,2.77559
87,10,3.58911,6.41089,3.58911,3.62682,2.78407,3.58911,3.62682,2.78407,7.21593,2.78407
88,10,3.58351,6.41649,3.58351,3.62418,2.79231,3.58351,3.62418,2.79231,7.20769,2.79231
89,10,3.57807,6.42193,3.57807,3.62162,2.80031,3.57807,3.62162,2.80031,7.19969,2.80031
90,10,3.57279,6.42721,3.57279,3.61914,2.80807,3.57279,3.61914,2.80807,7.19193,2.80807
91,10,3.56765,6.43235,3.56765,3.61673,2.81562,3.56765,3.61673,2.81562,7.18438,2.81562
92,10,3.56266,6.43734,3.56266,3.61439,2.82295,3.56266,3.61439,2.82295,7.17705,2.82295
93,10,3.55765,6.44235,3.55765,3.61213,2.83023,3.55765,3.61213,2.83023,7.16977,2.83023
94,10,3.55262,6.44738,3.55262,3.60992,2.83746,3.55262,3.60992,2.83746,7.16254,2.83746
95,10,3.54742,6.45258,3.54742,3.60779,2.84479,3.54742,3.60779,2.84479,7.15521,2.84479
96,10,3.54226,6.45774,3.54226,3.60571,2.85203,3.54226,3.60571,2.85203,7.14797,2.85203
97,10,3.537,6.463,3.537,3.60369,2.8593,3.537,3.60369,2.8593,7.1407,2.8593
98,10,3.53184,6.46816,3.53184,3.60173,2.86642,3.53184,3.60173,2.86642,7.13358,2.86642
99,10,3.52663,6.47337,3.52663,3.59983,2.87354,3.52663,3.59983,2.87354,7.12646,2.87354
100,10,3.52156,6.47844,3.52156,3.59798,2.88046,3.52156,3.59798,2.88046,7.11954,2.88046
101,10,3.51661,6.48339,3.51661,3.59619,2.8872,3.51661,3.59619,2.8872,7.1128,2.8872
102,10,3.5118,6.4882,3.5118,3.59445,2.89375,3.5118,3.59445,2.89375,7.10625,2.89375
103,10,3.50711,6.49289,3.50711,3.59275,2.90014,3.50711,3.59275,2.90014,7.09986,2.90014
104,10,3.50254,6.49746,3.50254,3.59111,2.90635,3.50254,3.59111,2.90635,7.09365,2.90635
105,10,3.49808,6.50192,3.49808,3.58952,2.9124,3.49808,3.58952,2.9124,7.0876,2.9124
106,10,3.4936,6.5064,3.4936,3.58797,2.91844,3.4936,3.58797,2.91844,7.08156,2.91844
107,10,3.48909,6.51091,3.48909,3.58646,2.92445,3.48909,3.58646,2.92445,7.07555,2.92445
108,10,3.48465,6.51535,3.48465,3.585,2.93035,3.48465,3.585,2.93035,7.06965,2.93035
109,10,3.48036,6.51964,3.48036,3.58358,2.93605,3.48036,3.58358,2.93605,7.06395,2.93605
110,10,3.47622,6.52378,3.47622,3.5822,2.94157,3.47622,3.5822,2.94157,7.05843,2.94157
111,10,3.47222,6.52778,3.47222,3.58087,2.94691,3.47222,3.58087,2.94691,7.05309,2.94691
112,10,3.46835,6.53165,3.46835,3.57957,2.95208,3.46835,3.57957,2.95208,7.04792,2.95208
113,10,3.46461,6.53539,3.46461,3.57832,2.95708,3.46461,3.57832,2.95708,7.04292,2.95708
114,10,3.46099,6.53901,3.46099,3.5771,2.96192,3.46099,3.5771,2.96192,7.03808,2.96192
115,10,3.45749,6.54251,3.45749,3.57591,2.96659,3.45749,3.57591,2.96659,7.03341,2.96659
116,10,3.45411,6.54589,3.45411,3.57477,2.97112,3.45411,3.57477,2.97112,7.02888,2.97112
117,10,3.45084,6.54916,3.45084,3.57366,2.9755,3.45084,3.57366,2.9755,7.0245,2.9755
118,10,3.44768,6.55232,3.44768,3.57258,2.97974,3.44768,3.57258,2.97974,7.02026,2.97974
119,10,3.44462,6.55538,3.44462,3.57153,2.98384,3.44462,3.57153,2.98384,7.01616,2.98384
120,10,3.44167,6.55833,3.44167,3.57052,2.98781,3.44167,3.57052,2.98781,7.01219,2.98781
121,10,3.43881,6.56119,3.43881,3.56954,2.99165,3.43881,3.56954,2.99165,7.00835,2.99165
122,10,3.43604,6.56396,3.43604,3.56859,2.99537,3.43604,3.56859,2.99537,7.00463,2.99537
123,10,3.43336,6.56664,3.43336,3.56767,2.99897,3.43336,3.56767,2.99897,7.00103,2.99897
124,10,3.43078,6.56922,3.43078,3.56677,3.00245,3.43078,3.56677,3.00245,6.99755,3.00245
125,10,3.42827,6.57173,3.42827,3.56591,3.00582,3.42827,3.56591,3.00582,6.99418,3.00582
126,10,3.42585,6.57415,3.42585,3.56507,3.00908,3.42585,3.56507,3.00908,6.99092,3.00908
127,10,3.42351,6.57649,3.42351,3.56426,3.01223,3.42351,3.56426,3.01223,6.98777,3.01223
128,10,3.42124,6.57876,3.42124,3.56347,3.01529,3.42124,3.56347,3.01529,6.98471,3.01529
129,10,3.41905,6.58095,3.41905,3.56271,3.01824,3.41905,3.56271,3.01824,6.98176,3.01824
130,10,3.41692,6.58308,3.41692,3.56197,3.0211,3.41692,3.56197,3.0211,6.9789,3.0211
131,10,3.41487,6.58513,3.41487,3.56126,3.02387,3.41487,3.56126,3.02387,6.97613,3.02387
132,10,3.41288,6.58712,3.41288,3.56057,3.02655,3.41288,3.56057,3.02655,6.97345,3.02655
133,10,3.41096,6.58904,3.41096,3.5599,3.02915,3.41096,3.5599,3.02915,6.97085,3.02915
134,10,3.40909,6.59091,3.40909,3.55925,3.03166,3.40909,3.55925,3.03166,6.96834,3.03166
135,10,3.40729,6.59271,3.40729,3.55862,3.03409,3.40729,3.55862,3.03409,6.96591,3.03409
136,10,3.40555,6.59445,3.40555,3.55801,3.03644,3.40555,3.55801,3.03644,6.96356,3.03644
137,10,3.40386,6.59614,3.40386,3.55743,3.03871,3.40386,3.55743,3.03871,6.96129,3.03871
138,10,3.40223,6.59777,3.40223,3.55686,3.04092,3.40223,3.55686,3.04092,6.95908,3.04092
139,10,3.40064,6.59936,3.40064,3.55631,3.04305,3.40064,3.55631,3.04305,6.95695,3.04305
140,10,3.39911,6.60089,3.39911,3.55577,3.04512,3.39911,3.55577,3.04512,6.95488,3.04512
141,10,3.39763,6.60237,3.39763,3.55526,3.04711,3.39763,3.55526,3.04711,6.95289,3.04711
142,10,3.3962,6.6038,3.3962,3.55475,3.04905,3.3962,3.55475,3.04905,6.95095,3.04905
143,10,3.39481,6.60519,3.39481,3.55427,3.05092,3.39481,3.55427,3.05092,6.94908,3.05092
144,10,3.39346,6.60654,3.39346,3.5538,3.05273,3.39346,3.5538,3.05273,6.94727,3.05273
145,10,3.39216,6.60784,3.39216,3.55335,3.05449,3.39216,3.55335,3.05449,6.94551,3.05449
146,10,3.3909,6.6091,3.3909,3.55291,3.05619,3.3909,3.55291,3.05619,6.94381,3.05619
147,10,3.38968,6.61032,3.38968,3.55249,3.05783,3.38968,3.55249,3.05783,6.94217,3.05783
148,10,3.3885,6.6115,3.3885,3.55208,3.05942,3.3885,3.55208,3.05942,6.94058,3.05942
149,10,3.38736,6.61264,3.38736,3.55168,3.06097,3.38736,3.55168,3.06097,6.93903,3.06097
150,10,3.38625,6.61375,3.38625,3.55129,3.06246,3.38625,3.55129,3.06246,6.93754,3.06246
151,10,3.38518,6.61482,3.38518,3.55092,3.0639,3.38518,3.55092,3.0639,6.9361,3.0639
152,10,3.38414,6.61586,3.38414,3.55056,3.0653,3.38414,3.55056,3.0653,6.9347,3.0653
153,10,3.38313,6.61687,3.38313,3.55021,3.06665,3.38313,3.55021,3.06665,6.93335,3.06665
154,10,3.38216,6.61784,3.38216,3.54988,3.06796,3.38216,3.54988,3.06796,6.93204,3.06796
155,10,3.38122,6.61878,3.38122,3.54955,3.06923,3.38122,3.54955,3.06923,6.93077,3.06923
156,10,3.38031,6.61969,3.38031,3.54923,3.07046,3.38031,3.54923,3.07046,6.92954,3.07046
157,10,3.37942,6.62058,3.37942,3.54893,3.07165,3.37942,3.54893,3.07165,6.92835,3.07165
158,10,3.37857,6.62143,3.37857,3.54863,3.0728,3.37857,3.54863,3.0728,6.9272,3.0728
159,10,3.37774,6.62226,3.37774,3.54835,3.07392,3.37774,3.54835,3.07392,6.92608,3.07392
160,10,3.37693,6.62307,3.37693,3.54807,3.07499,3.37693,3.54807,3.07499,6.92501,3.07499
161,10,3.37616,6.62384,3.37616,3.5478,3.07604,3.37616,3.5478,3.07604,6.92396,3.07604
162,10,3.3754,6.6246,3.3754,3.54755,3.07705,3.3754,3.54755,3.07705,6.92295,3.07705
163,10,3.37468,6.62532,3.37468,3.5473,3.07803,3.37468,3.5473,3.07803,6.92197,3.07803
164,10,3.37397,6.62603,3.37397,3.54705,3.07898,3.37397,3.54705,3.07898,6.92102,3.07898
165,10,3.37329,6.62671,3.37329,3.54682,3.0799,3.37329,3.54682,3.0799,6.9201,3.0799
166,10,3.37262,6.62738,3.37262,3.54659,3.08078,3.37262,3.54659,3.08078,6.91922,3.08078
167,10,3.37198,6.62802,3.37198,3.54637,3.08164,3.37198,3.54637,3.08164,6.91836,3.08164
168,10,3.37136,6.62864,3.37136,3.54616,3.08248,3.37136,3.54616,3.08248,6.91752,3.08248
169,10,3.37076,6.62924,3.37076,3.54596,3.08328,3.37076,3.54596,3.08328,6.91672,3.08328
