step,0,1,2,3
326,3.42583,-8.02211,1.40372,4.85166
327,3.42768,-8.02509,1.40259,4.85535
328,3.42951,-8.05301,1.37649,4.85901
329,3.4314,-8.06857,1.36282,4.8628
330,3.43331,-8.0841,1.34921,4.86663
331,3.43525,-8.08661,1.34864,4.8705
332,3.43717,-8.08913,1.34805,4.87435
333,3.43908,-8.09164,1.34744,4.87816
334,3.44097,-8.09415,1.34683,4.88195
335,3.44285,-8.09666,1.34619,4.8857
336,3.44471,-8.09917,1.34555,4.88943
337,3.44657,-8.0993,1.34727,4.89313
338,3.4484,-8.0993,1.3491,4.89679
339,3.45021,-8.0993,1.35091,4.90042
340,3.452,-8.0993,1.3527,4.904
341,3.45377,-8.0993,1.35448,4.90755
342,3.45553,-8.0993,1.35623,4.91106
343,3.45727,-8.0993,1.35797,4.91453
344,3.45899,-8.0993,1.35969,4.91797
345,3.46069,-8.0993,1.3614,4.92138
346,3.46238,-8.0993,1.36308,4.92476
347,3.46405,-8.0993,1.36476,4.9281
348,3.46571,-8.0993,1.36641,4.93142
349,3.46735,-8.0993,1.36805,4.9347
350,3.46898,-8.0993,1.36968,4.93796
351,3.47059,-8.0993,1.3713,4.94118
352,3.47219,-8.0993,1.3729,4.94438
353,3.47378,-8.0993,1.37448,4.94756
354,3.47535,-8.0993,1.37606,4.95071
355,3.47691,-8.0993,1.37762,4.95383
356,3.47846,-8.0993,1.37917,4.95693
357,3.48,-8.0993,1.3807,4.96
358,3.48153,-8.0993,1.38223,4.96305
359,3.48304,-8.0993,1.38374,4.96608
360,3.48454,-8.0993,1.38525,4.96909
361,3.48604,-8.0993,1.38674,4.97207
362,3.48752,-8.0993,1.38822,4.97504
363,3.48899,-8.0993,1.38969,4.97798
364,3.49045,-8.0993,1.39116,4.9809
365,3.4919,-8.0993,1.39261,4.98381
366,3.49335,-8.0993,1.39405,4.98669
367,3.49478,-8.0993,1.39549,4.98956
368,3.49621,-8.0993,1.39691,4.99241
369,3.49762,-8.0993,1.39833,4.99524
370,3.49903,-8.0993,1.39973,4.99806
371,3.50043,-8.0993,1.40113,5.00086
372,3.50182,-8.0993,1.40252,5.00364
373,3.5032,-8.0993,1.40391,5.0064
374,3.50458,-8.0993,1.40528,5.00915
375,3.50594,-8.0993,1.40665,5.01189
376,3.5073,-8.0993,1.40801,5.01461
377,3.50866,-8.0993,1.40936,5.01732
