step,0,1,2,3,4,5,6,7
142,10,5.84765,4.15235,5.1396,4.15235,0.708057,5.1396,4.8604
143,10,5.84876,4.15124,5.12693,4.15124,0.721836,5.12693,4.87307
144,10,5.84985,4.15015,5.11426,4.15015,0.735591,5.11426,4.88574
145,10,5.85091,4.14909,5.10159,4.14909,0.749324,5.10159,4.89841
146,10,5.85196,4.14804,5.08892,4.14804,0.763034,5.08892,4.91108
147,10,5.85298,4.14702,5.07626,4.14702,0.776721,5.07626,4.92374
148,10,5.85398,4.14602,5.0636,4.14602,0.790387,5.0636,4.9364
149,10,5.85497,4.14503,5.05094,4.14503,0.804031,5.05094,4.94906
150,10,5.85593,4.14407,5.03828,4.14407,0.817653,5.03828,4.96172
151,10,5.85688,4.14312,5.02563,4.14312,0.831254,5.02563,4.97437
152,10,5.85791,4.14209,5.01287,4.14209,0.845041,5.01287,4.98713
153,10,5.85901,4.14099,5,4.14099,0.859012,5,5
154,10,5.86027,4.13973,4.98691,4.13973,0.87336,4.98691,5.01309
155,10,5.86157,4.13843,4.97374,4.13843,0.88783,4.97374,5.02626
156,10,5.86301,4.13699,4.96037,4.13699,0.902639,4.96037,5.03963
157,10,5.86446,4.13554,4.94694,4.13554,0.91752,4.94694,5.05306
158,10,5.86593,4.13407,4.93346,4.13407,0.932472,4.93346,5.06654
159,10,5.86741,4.13259,4.91992,4.13259,0.947493,4.91992,5.08008
160,10,5.869,4.131,4.90621,4.131,0.962784,4.90621,5.09379
161,10,5.87056,4.12944,4.89249,4.12944,0.978068,4.89249,5.10751
162,10,5.8721,4.1279,4.87875,4.1279,0.993348,4.87875,5.12125
163,10,5.87362,4.12638,4.865,4.12638,1.00862,4.865,5.135
164,10,5.87512,4.12488,4.85123,4.12488,1.02389,4.85123,5.14877
165,10,5.8766,4.1234,4.83744,4.1234,1.03916,4.83744,5.16256
166,10,5.87816,4.12184,4.82352,4.12184,1.05464,4.82352,5.17648
167,10,5.87981,4.12019,4.80947,4.12019,1.07034,4.80947,5.19053
168,10,5.88142,4.11858,4.79541,4.11858,1.08601,4.79541,5.20459
169,10,5.883,4.117,4.78135,4.117,1.10166,4.78135,5.21865
170,10,5.88465,4.11535,4.76717,4.11535,1.11749,4.76717,5.23283
171,10,5.88637,4.11363,4.75288,4.11363,1.13349,4.75288,5.24712
172,10,5.88823,4.11177,4.73837,4.11177,1.14986,4.73837,5.26163
173,10,5.89012,4.10988,4.72378,4.10988,1.16633,4.72378,5.27622
174,10,5.89213,4.10787,4.709,4.10787,1.18313,4.709,5.291
175,10,5.89417,4.10583,4.69414,4.10583,1.20003,4.69414,5.30586
176,10,5.89631,4.10369,4.6791,4.10369,1.21722,4.6791,5.3209
177,10,5.89846,4.10154,4.664,4.10154,1.23446,4.664,5.336
178,10,5.9006,4.0994,4.64884,4.0994,1.25176,4.64884,5.35116
179,10,5.90283,4.09717,4.63354,4.09717,1.26929,4.63354,5.36646
180,10,5.90504,4.09496,4.61818,4.09496,1.28686,4.61818,5.38182
181,10,5.90724,4.09276,4.60279,4.09276,1.30445,4.60279,5.39721
182,10,5.90953,4.09047,4.58725,4.09047,1.32228,4.58725,5.41275
183,10,5.9118,4.0882,4.57166,4.0882,1.34013,4.57166,5.42834
184,10,5.91404,4.08596,4.55604,4.08596,1.358,4.55604,5.44396
185,10,5.91628,4.08372,4.54039,4.08372,1.37589,4.54039,5.45961
186,10,5.91858,4.08142,4.52461,4.08142,1.39397,4.52461,5.47539
187,10,5.92084,4.07916,4.50881,4.07916,1.41204,4.50881,5.49119
188,10,5.92307,4.07693,4.493,4.07693,1.43008,4.493,5.507
189,10,5.92527,4.07473,4.47718,4.07473,1.44809,4.47718,5.52282
190,10,5.92743,4.07257,4.46135,4.07257,1.46609,4.46135,5.53865
191,10,5.92966,4.07034,4.4454,4.07034,1.48427,4.4454,5.5546
192,10,5.93187,4.06813,4.42943,4.06813,1.50244,4.42943,5.57057
193,10,5.93406,4.06594,4.41344,4.06594,1.52061,4.41344,5.58656
194,10,5.93622,4.06378,4.39744,4.06378,1.53878,4.39744,5.60256
195,10,5.93836,4.06164,4.38142,4.06164,1.55694,4.38142,5.61858
196,10,5.94057,4.05943,4.36529,4.05943,1.57528,4.36529,5.63471
197,10,5.94276,4.05724,4.34916,4.05724,1.5936,4.34916,5.65084
198,10,5.94491,4.05509,4.33301,4.05509,1.6119,4.33301,5.66699
199,10,5.94704,4.05296,4.31686,4.05296,1.63018,4.31686,5.68314
200,10,5.94915,4.05085,4.30071,4.05085,1.64843,4.30071,5.69929
201,10,5.95123,4.04877,4.28455,4.04877,1.66667,4.28455,5.71545
202,10,5.95337,4.04663,4.26831,4.04663,1.68506,4.26831,5.73169
203,10,5.95548,4.04452,4.25206,4.04452,1.70342,4.25206,5.74794
204,10,5.95757,4.04243,4.23581,4.04243,1.72177,4.23581,5.76419
205,10,5.95964,4.04036,4.21955,4.04036,1.74009,4.21955,5.78045
206,10,5.96169,4.03831,4.2033,4.03831,1.75839,4.2033,5.7967
207,10,5.96372,4.03628,4.18705,4.03628,1.77667,4.18705,5.81295
208,10,5.96583,4.03417,4.1707,4.03417,1.79513,4.1707,5.8293
209,10,5.96791,4.03209,4.15434,4.03209,1.81357,4.15434,5.84566
